state_name,district_name,disability,age_group,male,female,other,total
Karnataka,Bagalkote,Sickle Cell Disease,35-60,2,0,0,2
Karnataka,Bagalkote,Sickle Cell Disease,60-80,0,0,0,0
Karnataka,Bagalkote,Specific Learning Disabilities,Jun-15,0,0,0,0
Karnataka,Bagalkote,Specific Learning Disabilities,15-35,1,0,0,1
Karnataka,Bagalkote,Specific Learning Disabilities,35-60,1,0,0,1
Karnataka,Bagalkote,Specific Learning Disabilities,60-80,0,0,0,0
Karnataka,Bagalkote,Speech And Language Disability,0-6,0,0,0,0
Karnataka,Bagalkote,Speech And Language Disability,Jun-15,22,13,0,35
Karnataka,Bagalkote,Speech And Language Disability,15-35,34,28,0,62
Karnataka,Bagalkote,Speech And Language Disability,35-60,30,9,0,39
Karnataka,Bagalkote,Speech And Language Disability,60-80,6,1,0,7
Karnataka,Bagalkote,Speech And Language Disability,80+,0,0,0,0
Karnataka,Bagalkote,Thalassemia,0-6,5,4,0,9
Karnataka,Bagalkote,Thalassemia,Jun-15,18,16,0,34
Karnataka,Bagalkote,Thalassemia,15-35,9,9,0,18
Karnataka,Bagalkote,Thalassemia,35-60,3,1,0,4
Karnataka,Bagalkote,Thalassemia,60-80,0,0,0,0
Karnataka,Bagalkote,Thalassemia,80+,0,0,0,0
Karnataka,Ballari,Acid Attack Victim,Jun-15,0,1,0,1
Karnataka,Ballari,Acid Attack Victim,15-35,1,1,0,2
Karnataka,Ballari,Acid Attack Victim,35-60,4,3,0,7
Karnataka,Ballari,Acid Attack Victim,60-80,1,0,0,1
Karnataka,Ballari,Autism Spectrum Disorder,Jun-15,4,1,0,5
Karnataka,Ballari,Autism Spectrum Disorder,15-35,5,2,0,7
Karnataka,Ballari,Autism Spectrum Disorder,35-60,9,5,0,14
Karnataka,Ballari,Autism Spectrum Disorder,60-80,1,2,0,3
Karnataka,Ballari,Blindness,0-6,5,6,0,11
Karnataka,Ballari,Blindness,Jun-15,73,49,0,122
Karnataka,Ballari,Blindness,15-35,434,296,0,730
Karnataka,Ballari,Blindness,35-60,622,327,0,949
Karnataka,Ballari,Blindness,60-80,183,89,0,272
Karnataka,Ballari,Blindness,80+,23,4,0,27
Karnataka,Ballari,Cerebral Palsy,0-6,12,8,0,20
Karnataka,Ballari,Cerebral Palsy,Jun-15,64,39,0,103
Karnataka,Ballari,Cerebral Palsy,15-35,89,69,0,158
Karnataka,Ballari,Cerebral Palsy,35-60,42,16,0,58
Karnataka,Ballari,Cerebral Palsy,60-80,17,2,0,19
Karnataka,Ballari,Chronic Neurological Conditions,0-6,0,2,0,2
Karnataka,Ballari,Chronic Neurological Conditions,Jun-15,9,5,0,14
Karnataka,Ballari,Chronic Neurological Conditions,15-35,61,45,0,106
Karnataka,Ballari,Chronic Neurological Conditions,35-60,133,47,0,180
Karnataka,Ballari,Chronic Neurological Conditions,60-80,31,11,0,42
Karnataka,Ballari,Chronic Neurological Conditions,80+,3,2,0,5
Karnataka,Ballari,Dwarfism,0-6,1,0,0,1
Karnataka,Ballari,Dwarfism,Jun-15,4,4,0,8
Karnataka,Ballari,Dwarfism,15-35,32,42,0,74
Karnataka,Ballari,Dwarfism,35-60,15,10,0,25
Karnataka,Ballari,Dwarfism,60-80,1,2,0,3
Karnataka,Ballari,Hearing Impairment,0-6,27,18,0,45
Karnataka,Ballari,Hearing Impairment,Jun-15,238,186,0,424
Karnataka,Ballari,Hearing Impairment,15-35,687,525,0,1212
Karnataka,Ballari,Hearing Impairment,35-60,901,845,0,1746
Karnataka,Ballari,Hearing Impairment,60-80,248,135,0,383
Karnataka,Ballari,Hearing Impairment,80+,17,3,0,20
Karnataka,Ballari,Hemophilia,0-6,1,1,0,2
Karnataka,Ballari,Hemophilia,Jun-15,5,3,0,8
Karnataka,Ballari,Hemophilia,15-35,20,8,0,28
Karnataka,Ballari,Hemophilia,35-60,26,6,0,32
Karnataka,Ballari,Hemophilia,60-80,3,1,0,4
Karnataka,Ballari,Intellectual Disability,0-6,39,23,0,62
Karnataka,Ballari,Intellectual Disability,Jun-15,558,349,0,907
Karnataka,Ballari,Intellectual Disability,15-35,748,517,0,1265
Karnataka,Ballari,Intellectual Disability,35-60,190,170,0,360
Karnataka,Ballari,Intellectual Disability,60-80,17,13,0,30
Karnataka,Ballari,Leprosy Cured,Jun-15,0,2,0,2
Karnataka,Ballari,Leprosy Cured,15-35,11,4,0,15
Karnataka,Ballari,Leprosy Cured,35-60,46,19,0,65
Karnataka,Ballari,Leprosy Cured,60-80,17,14,0,31
Karnataka,Ballari,Leprosy Cured,80+,1,1,0,2
Karnataka,Ballari,Locomotor Disability,0-6,55,38,0,93
Karnataka,Ballari,Locomotor Disability,Jun-15,623,425,0,1048
Karnataka,Ballari,Locomotor Disability,15-35,2843,1853,1,4697
Karnataka,Ballari,Locomotor Disability,35-60,6524,3129,1,9654
Karnataka,Ballari,Locomotor Disability,60-80,1328,408,0,1736
Karnataka,Ballari,Locomotor Disability,80+,56,16,0,72
Karnataka,Ballari,Low Vision,0-6,0,0,0,0
Karnataka,Ballari,Low Vision,Jun-15,8,19,0,27
Karnataka,Ballari,Low Vision,15-35,138,81,1,220
Karnataka,Ballari,Low Vision,35-60,136,60,0,196
Karnataka,Ballari,Low Vision,60-80,21,14,0,35
Karnataka,Ballari,Low Vision,80+,2,3,0,5
Karnataka,Ballari,Mental Illness,0-6,9,8,0,17
Karnataka,Ballari,Mental Illness,Jun-15,343,258,0,601
Karnataka,Ballari,Mental Illness,15-35,906,681,0,1587
Karnataka,Ballari,Mental Illness,35-60,443,377,0,820
Karnataka,Ballari,Mental Illness,60-80,24,30,0,54
Karnataka,Ballari,Mental Illness,80+,0,0,0,0
Karnataka,Ballari,Multiple Disabilities,0-6,5,4,0,9
Karnataka,Ballari,Multiple Disabilities,Jun-15,108,66,0,174
Karnataka,Ballari,Multiple Disabilities,15-35,269,141,0,410
Karnataka,Ballari,Multiple Disabilities,35-60,198,100,0,298
Karnataka,Ballari,Multiple Disabilities,60-80,43,13,0,56
Karnataka,Ballari,Multiple Disabilities,80+,6,0,0,6
Karnataka,Ballari,Multiple Sclerosis,0-6,1,0,0,1
Karnataka,Ballari,Multiple Sclerosis,Jun-15,1,0,0,1
Karnataka,Ballari,Multiple Sclerosis,15-35,7,3,0,10
Karnataka,Ballari,Multiple Sclerosis,35-60,2,3,0,5
Karnataka,Ballari,Multiple Sclerosis,60-80,0,0,0,0
Karnataka,Ballari,Muscular Dystrophy,0-6,1,1,0,2
Karnataka,Ballari,Muscular Dystrophy,Jun-15,4,3,0,7
Karnataka,Ballari,Muscular Dystrophy,15-35,17,11,0,28
Karnataka,Ballari,Muscular Dystrophy,35-60,25,15,0,40
Karnataka,Ballari,Muscular Dystrophy,60-80,3,3,0,6
Karnataka,Ballari,Parkinson'S Disease,15-35,4,2,0,6
Karnataka,Ballari,Parkinson'S Disease,35-60,14,3,0,17
Karnataka,Ballari,Parkinson'S Disease,60-80,7,2,0,9
Karnataka,Ballari,Parkinson'S Disease,80+,0,0,0,0
Karnataka,Ballari,Sickle Cell Disease,Jun-15,0,2,0,2
Karnataka,Ballari,Sickle Cell Disease,15-35,1,3,0,4
Karnataka,Ballari,Sickle Cell Disease,35-60,2,1,0,3
Karnataka,Ballari,Sickle Cell Disease,60-80,0,1,0,1
Karnataka,Ballari,Sickle Cell Disease,80+,0,0,0,0
Karnataka,Ballari,Specific Learning Disabilities,Jun-15,0,3,0,3
Karnataka,Ballari,Specific Learning Disabilities,15-35,3,4,0,7
Karnataka,Ballari,Specific Learning Disabilities,35-60,0,2,0,2
Karnataka,Ballari,Specific Learning Disabilities,60-80,1,0,0,1
Karnataka,Ballari,Specific Learning Disabilities,80+,0,0,0,0
Karnataka,Ballari,Speech And Language Disability,0-6,0,0,0,0
Karnataka,Ballari,Speech And Language Disability,Jun-15,15,13,0,28
Karnataka,Ballari,Speech And Language Disability,15-35,61,47,0,108
Karnataka,Ballari,Speech And Language Disability,35-60,35,21,0,56
Karnataka,Ballari,Speech And Language Disability,60-80,8,4,0,12
Karnataka,Ballari,Speech And Language Disability,80+,0,1,0,1
Karnataka,Ballari,Thalassemia,0-6,13,6,0,19
Karnataka,Ballari,Thalassemia,Jun-15,29,22,0,51
Karnataka,Ballari,Thalassemia,15-35,12,8,0,20
Karnataka,Ballari,Thalassemia,35-60,6,5,0,11
Karnataka,Belagavi,Acid Attack Victim,Jun-15,0,2,0,2
Karnataka,Belagavi,Acid Attack Victim,15-35,8,6,0,14
Karnataka,Belagavi,Acid Attack Victim,35-60,12,14,0,26
Karnataka,Belagavi,Acid Attack Victim,60-80,4,1,0,5
Karnataka,Belagavi,Acid Attack Victim,80+,0,0,0,0
Karnataka,Belagavi,Autism Spectrum Disorder,0-6,2,0,0,2
Karnataka,Belagavi,Autism Spectrum Disorder,Jun-15,8,1,0,9
Karnataka,Belagavi,Autism Spectrum Disorder,15-35,8,8,0,16
Karnataka,Belagavi,Autism Spectrum Disorder,35-60,9,4,0,13
Karnataka,Belagavi,Autism Spectrum Disorder,60-80,4,3,0,7
Karnataka,Belagavi,Autism Spectrum Disorder,80+,1,1,0,2
Karnataka,Belagavi,Blindness,0-6,22,18,0,40
Karnataka,Belagavi,Blindness,Jun-15,345,238,0,583
Karnataka,Belagavi,Blindness,15-35,1581,1005,0,2586
Karnataka,Belagavi,Blindness,35-60,3202,2328,1,5531
Karnataka,Belagavi,Blindness,60-80,923,393,0,1316
Karnataka,Belagavi,Blindness,80+,36,16,0,52
Karnataka,Belagavi,Cerebral Palsy,0-6,20,6,0,26
Karnataka,Belagavi,Cerebral Palsy,Jun-15,86,52,0,138
Karnataka,Belagavi,Cerebral Palsy,15-35,103,71,0,174
Karnataka,Belagavi,Cerebral Palsy,35-60,156,43,0,199
Karnataka,Belagavi,Cerebral Palsy,60-80,51,15,0,66
Karnataka,Belagavi,Chronic Neurological Conditions,0-6,1,0,0,1
Karnataka,Belagavi,Chronic Neurological Conditions,Jun-15,11,4,0,15
Karnataka,Belagavi,Chronic Neurological Conditions,15-35,35,18,0,53
Karnataka,Belagavi,Chronic Neurological Conditions,35-60,127,46,0,173
Karnataka,Belagavi,Chronic Neurological Conditions,60-80,43,6,0,49
Karnataka,Belagavi,Chronic Neurological Conditions,80+,1,0,0,1
Karnataka,Belagavi,Dwarfism,0-6,0,0,0,0
Karnataka,Belagavi,Dwarfism,Jun-15,11,14,0,25
Karnataka,Belagavi,Dwarfism,15-35,34,61,0,95
Karnataka,Belagavi,Dwarfism,35-60,42,33,0,75
Karnataka,Belagavi,Dwarfism,60-80,7,6,0,13
Karnataka,Belagavi,Dwarfism,80+,0,1,0,1
Karnataka,Belagavi,Hearing Impairment,0-6,38,36,0,74
Karnataka,Belagavi,Hearing Impairment,Jun-15,580,527,0,1107
Karnataka,Belagavi,Hearing Impairment,15-35,1667,1481,1,3149
Karnataka,Belagavi,Hearing Impairment,35-60,2305,2364,0,4669
Karnataka,Belagavi,Hearing Impairment,60-80,580,247,0,827
Karnataka,Belagavi,Hearing Impairment,80+,43,14,1,58
Karnataka,Belagavi,Hemophilia,0-6,6,0,0,6
Karnataka,Belagavi,Hemophilia,Jun-15,21,0,0,21
Karnataka,Belagavi,Hemophilia,15-35,19,4,0,23
Karnataka,Belagavi,Hemophilia,35-60,34,19,0,53
Karnataka,Belagavi,Hemophilia,60-80,11,2,0,13
Karnataka,Belagavi,Hemophilia,80+,1,0,0,1
Karnataka,Belagavi,Intellectual Disability,0-6,92,52,0,144
Karnataka,Belagavi,Intellectual Disability,Jun-15,1183,777,0,1960
Karnataka,Belagavi,Intellectual Disability,15-35,2814,1850,1,4665
Karnataka,Belagavi,Intellectual Disability,35-60,1075,912,0,1987
Karnataka,Belagavi,Intellectual Disability,60-80,91,74,0,165
Karnataka,Belagavi,Intellectual Disability,80+,2,3,0,5
Karnataka,Belagavi,Leprosy Cured,Jun-15,0,0,0,0
Karnataka,Belagavi,Leprosy Cured,15-35,8,7,0,15
Karnataka,Belagavi,Leprosy Cured,35-60,34,16,0,50
Karnataka,Belagavi,Leprosy Cured,60-80,17,6,0,23
Karnataka,Belagavi,Leprosy Cured,80+,0,0,0,0
Karnataka,Belagavi,Locomotor Disability,0-6,136,90,0,226
Karnataka,Belagavi,Locomotor Disability,Jun-15,1655,991,0,2646
Karnataka,Belagavi,Locomotor Disability,15-35,7043,3775,2,10820
Karnataka,Belagavi,Locomotor Disability,35-60,15825,7379,5,23209
Karnataka,Belagavi,Locomotor Disability,60-80,4259,1233,3,5495
Karnataka,Belagavi,Locomotor Disability,80+,258,70,0,328
Karnataka,Belagavi,Low Vision,0-6,12,11,0,23
Karnataka,Belagavi,Low Vision,Jun-15,184,155,0,339
Karnataka,Belagavi,Low Vision,15-35,718,378,0,1096
Karnataka,Belagavi,Low Vision,35-60,914,560,0,1474
Karnataka,Belagavi,Low Vision,60-80,214,85,0,299
Karnataka,Belagavi,Low Vision,80+,12,5,0,17
Karnataka,Belagavi,Mental Illness,0-6,74,30,0,104
Karnataka,Belagavi,Mental Illness,Jun-15,636,433,0,1069
Karnataka,Belagavi,Mental Illness,15-35,1383,1053,0,2436
Karnataka,Belagavi,Mental Illness,35-60,1467,1266,0,2733
Karnataka,Belagavi,Mental Illness,60-80,173,119,0,292
Karnataka,Belagavi,Mental Illness,80+,6,1,0,7
Karnataka,Belagavi,Multiple Disabilities,0-6,53,29,0,82
Karnataka,Belagavi,Multiple Disabilities,Jun-15,321,197,0,518
Karnataka,Belagavi,Multiple Disabilities,15-35,389,222,0,611
Karnataka,Belagavi,Multiple Disabilities,35-60,356,192,0,548
Karnataka,Belagavi,Multiple Disabilities,60-80,117,31,1,149
Karnataka,Belagavi,Multiple Disabilities,80+,8,2,0,10
Karnataka,Belagavi,Multiple Sclerosis,0-6,2,0,0,2
Karnataka,Belagavi,Multiple Sclerosis,Jun-15,4,3,0,7
Karnataka,Belagavi,Multiple Sclerosis,15-35,17,7,0,24
Karnataka,Belagavi,Multiple Sclerosis,35-60,12,12,0,24
Karnataka,Belagavi,Multiple Sclerosis,60-80,5,2,0,7
Karnataka,Belagavi,Multiple Sclerosis,80+,2,0,0,2
Karnataka,Belagavi,Muscular Dystrophy,0-6,1,1,0,2
Karnataka,Belagavi,Muscular Dystrophy,Jun-15,21,11,0,32
Karnataka,Belagavi,Muscular Dystrophy,15-35,62,30,0,92
Karnataka,Belagavi,Muscular Dystrophy,35-60,146,41,0,187
Karnataka,Belagavi,Muscular Dystrophy,60-80,31,19,0,50
Karnataka,Belagavi,Muscular Dystrophy,80+,6,0,0,6
Karnataka,Belagavi,Parkinson'S Disease,Jun-15,0,1,0,1
Karnataka,Belagavi,Parkinson'S Disease,15-35,5,1,0,6
Karnataka,Belagavi,Parkinson'S Disease,35-60,12,4,0,16
Karnataka,Belagavi,Parkinson'S Disease,60-80,6,1,0,7
Karnataka,Belagavi,Sickle Cell Disease,Jun-15,0,0,0,0
Karnataka,Belagavi,Sickle Cell Disease,15-35,1,1,0,2
Karnataka,Belagavi,Sickle Cell Disease,35-60,4,1,0,5
Karnataka,Belagavi,Sickle Cell Disease,60-80,1,0,0,1
Karnataka,Belagavi,Specific Learning Disabilities,Jun-15,2,1,0,3
Karnataka,Belagavi,Specific Learning Disabilities,15-35,10,7,0,17
Karnataka,Belagavi,Specific Learning Disabilities,35-60,5,2,0,7
Karnataka,Belagavi,Specific Learning Disabilities,60-80,2,0,0,2
Karnataka,Belagavi,Specific Learning Disabilities,80+,1,0,0,1
Karnataka,Belagavi,Speech And Language Disability,0-6,5,0,0,5
Karnataka,Belagavi,Speech And Language Disability,Jun-15,122,75,0,197
Karnataka,Belagavi,Speech And Language Disability,15-35,209,132,0,341
Karnataka,Belagavi,Speech And Language Disability,35-60,164,92,0,256
Karnataka,Belagavi,Speech And Language Disability,60-80,24,5,0,29
Karnataka,Belagavi,Speech And Language Disability,80+,1,1,0,2
Karnataka,Belagavi,Thalassemia,0-6,6,5,0,11
Karnataka,Belagavi,Thalassemia,Jun-15,27,20,0,47
Karnataka,Belagavi,Thalassemia,15-35,28,10,0,38
Karnataka,Belagavi,Thalassemia,35-60,5,0,0,5
Karnataka,Belagavi,Thalassemia,60-80,0,0,0,0
Karnataka,Bengaluru Rural,Acid Attack Victim,15-35,0,1,0,1
Karnataka,Bengaluru Rural,Acid Attack Victim,35-60,5,5,0,10
Karnataka,Bengaluru Rural,Acid Attack Victim,60-80,4,0,0,4
Karnataka,Bengaluru Rural,Acid Attack Victim,80+,1,0,0,1
Karnataka,Bengaluru Rural,Autism Spectrum Disorder,0-6,1,3,0,4
Karnataka,Bengaluru Rural,Autism Spectrum Disorder,Jun-15,15,2,0,17
Karnataka,Bengaluru Rural,Autism Spectrum Disorder,15-35,6,0,0,6
Karnataka,Bengaluru Rural,Autism Spectrum Disorder,35-60,1,0,0,1
Karnataka,Bengaluru Rural,Blindness,Jun-15,19,18,0,37
Karnataka,Bengaluru Rural,Blindness,15-35,176,131,0,307
Karnataka,Bengaluru Rural,Blindness,35-60,404,254,0,658
Karnataka,Bengaluru Rural,Blindness,60-80,187,85,0,272
Karnataka,Bengaluru Rural,Blindness,80+,19,9,0,28
Karnataka,Bengaluru Rural,Cerebral Palsy,0-6,7,4,0,11
Karnataka,Bengaluru Rural,Cerebral Palsy,Jun-15,26,16,0,42
Karnataka,Bengaluru Rural,Cerebral Palsy,15-35,28,22,0,50
Karnataka,Bengaluru Rural,Cerebral Palsy,35-60,18,11,0,29
Karnataka,Bengaluru Rural,Cerebral Palsy,60-80,2,1,0,3
Karnataka,Bengaluru Rural,Chronic Neurological Conditions,Jun-15,1,1,0,2
Karnataka,Bengaluru Rural,Chronic Neurological Conditions,15-35,6,1,0,7
Karnataka,Bengaluru Rural,Chronic Neurological Conditions,35-60,35,11,0,46
Karnataka,Bengaluru Rural,Chronic Neurological Conditions,60-80,13,5,0,18
Karnataka,Bengaluru Rural,Chronic Neurological Conditions,80+,0,0,0,0
Karnataka,Bengaluru Rural,Dwarfism,Jun-15,1,3,0,4
Karnataka,Bengaluru Rural,Dwarfism,15-35,6,10,0,16
Karnataka,Bengaluru Rural,Dwarfism,35-60,6,11,0,17
Karnataka,Bengaluru Rural,Dwarfism,60-80,3,0,0,3
Karnataka,Bengaluru Rural,Hearing Impairment,0-6,12,13,0,25
Karnataka,Bengaluru Rural,Hearing Impairment,Jun-15,50,61,0,111
Karnataka,Bengaluru Rural,Hearing Impairment,15-35,241,190,0,431
Karnataka,Bengaluru Rural,Hearing Impairment,35-60,406,325,0,731
Karnataka,Bengaluru Rural,Hearing Impairment,60-80,326,141,0,467
Karnataka,Bengaluru Rural,Hearing Impairment,80+,139,36,0,175
Karnataka,Bengaluru Rural,Hemophilia,Jun-15,1,0,0,1
Karnataka,Bengaluru Rural,Hemophilia,15-35,5,0,0,5
Karnataka,Bengaluru Rural,Hemophilia,35-60,2,1,0,3
Karnataka,Bengaluru Rural,Hemophilia,60-80,1,0,0,1
Karnataka,Bengaluru Rural,Hemophilia,80+,2,0,0,2
Karnataka,Bengaluru Rural,Intellectual Disability,0-6,26,29,0,55
Karnataka,Bengaluru Rural,Intellectual Disability,Jun-15,220,159,0,379
Karnataka,Bengaluru Rural,Intellectual Disability,15-35,435,318,1,754
Karnataka,Bengaluru Rural,Intellectual Disability,35-60,193,175,0,368
Karnataka,Bengaluru Rural,Intellectual Disability,60-80,19,16,0,35
Karnataka,Bengaluru Rural,Intellectual Disability,80+,3,0,0,3
Karnataka,Bengaluru Rural,Leprosy Cured,15-35,0,2,0,2
Karnataka,Bengaluru Rural,Leprosy Cured,35-60,2,3,0,5
Karnataka,Bengaluru Rural,Leprosy Cured,60-80,5,2,0,7
Karnataka,Bengaluru Rural,Leprosy Cured,80+,2,0,0,2
Karnataka,Bengaluru Rural,Locomotor Disability,0-6,8,10,0,18
Karnataka,Bengaluru Rural,Locomotor Disability,Jun-15,147,123,1,271
Karnataka,Bengaluru Rural,Locomotor Disability,15-35,806,509,0,1315
Karnataka,Bengaluru Rural,Locomotor Disability,35-60,3225,1395,1,4621
Karnataka,Bengaluru Rural,Locomotor Disability,60-80,1230,409,0,1639
Karnataka,Bengaluru Rural,Locomotor Disability,80+,146,46,0,192
Karnataka,Bengaluru Rural,Low Vision,0-6,2,0,0,2
Karnataka,Bengaluru Rural,Low Vision,Jun-15,7,10,0,17
Karnataka,Bengaluru Rural,Low Vision,15-35,68,51,0,119
Karnataka,Bengaluru Rural,Low Vision,35-60,74,52,0,126
Karnataka,Bengaluru Rural,Low Vision,60-80,25,13,0,38
Karnataka,Bengaluru Rural,Low Vision,80+,2,0,0,2
Karnataka,Bengaluru Rural,Mental Illness,0-6,1,0,0,1
Karnataka,Bengaluru Rural,Mental Illness,Jun-15,55,38,0,93
Karnataka,Bengaluru Rural,Mental Illness,15-35,368,249,0,617
Karnataka,Bengaluru Rural,Mental Illness,35-60,367,277,0,644
Karnataka,Bengaluru Rural,Mental Illness,60-80,68,36,0,104
Karnataka,Bengaluru Rural,Mental Illness,80+,4,1,0,5
Karnataka,Bengaluru Rural,Multiple Disabilities,0-6,2,2,0,4
Karnataka,Bengaluru Rural,Multiple Disabilities,Jun-15,42,26,0,68
